filename,match_score
54100393.pdf,24.779767990112305
35483925.pdf,24.69355583190918
20850529.pdf,24.680094718933105
22925443.pdf,24.67672824859619
21809601.pdf,24.613564014434814
29552167.pdf,24.585041999816895
29406313.pdf,24.459857940673828
24799301.pdf,24.386119842529297
78107631.pdf,24.3613862991333
27120528.pdf,24.35563564300537
89049979.pdf,24.3194842338562
53640713.pdf,24.259531497955322
33370664.pdf,24.256794452667236
16237710.pdf,24.098708629608154
31114531.pdf,24.049010276794434
28424982.pdf,24.009530544281006
60489316.pdf,23.821158409118652
78257294.pdf,23.676536083221436
25127518.pdf,23.593721389770508
24103168.pdf,23.56621742248535
18319061.pdf,23.537156581878662
30128072.pdf,23.504996299743652
21622444.pdf,23.470280170440674
18645964.pdf,23.339240550994873
28969385.pdf,23.12854766845703
11759079.pdf,23.10892343521118
39569771.pdf,23.05199146270752
27662298.pdf,23.017690181732178
20253563.pdf,22.932286262512207
27164756.pdf,22.848491668701172
99561379.pdf,22.817580699920654
33135102.pdf,22.739219665527344
23752500.pdf,22.71693229675293
24221960.pdf,22.696404457092285
54180474.pdf,22.664997577667236
34758680.pdf,22.479634284973145
32980197.pdf,22.426769733428955
18569929.pdf,22.395968437194824
22593054.pdf,22.385098934173584
73497035.pdf,22.361364364624023
20992320.pdf,22.31919527053833
28092317.pdf,22.225794792175293
49204385.pdf,22.13693618774414
15821633.pdf,22.120678424835205
13411858.pdf,22.115118503570557
11995013.pdf,22.075626850128174
12420359.pdf,22.071399688720703
43375498.pdf,22.046945095062256
11262933.pdf,21.962604522705078
34198885.pdf,21.881422996520996
17823436.pdf,21.856167316436768
12254068.pdf,21.82915210723877
14626780.pdf,21.816606521606445
13294301.pdf,21.769349575042725
17396388.pdf,21.709964275360107
47729453.pdf,21.598691940307617
38847011.pdf,21.4998459815979
12334650.pdf,21.37916088104248
28711616.pdf,21.356358528137207
39142536.pdf,21.283557415008545
19437318.pdf,21.23244285583496
39064638.pdf,21.229567527770996
14150896.pdf,21.201910972595215
19446337.pdf,21.182150840759277
28325193.pdf,21.16863489151001
16248476.pdf,21.14760160446167
37472265.pdf,21.129984855651855
26079779.pdf,21.108896732330322
28471099.pdf,21.06895923614502
29784524.pdf,21.020712852478027
13095891.pdf,20.986640453338623
91072502.pdf,20.938637256622314
34953092.pdf,20.858283042907715
17276884.pdf,20.856900215148926
92985983.pdf,20.739192962646484
72876163.pdf,20.71918249130249
21031285.pdf,20.615856647491455
98965485.pdf,20.537898540496826
17104011_Kapil_Kumar_Israni.pdf,20.49827814102173
30594821.pdf,20.46933650970459
17818707.pdf,20.421385765075684
26410763.pdf,20.328257083892822
21856577.pdf,20.307292938232422
19920687.pdf,20.197923183441162
17694454.pdf,20.140106678009033
42487883.pdf,20.05654811859131
21334981.pdf,19.963886737823486
53227466.pdf,19.745957851409912
21904897.pdf,19.74214792251587
14470533.pdf,19.56106424331665
35468363.pdf,19.494309425354004
20698469.pdf,19.491729736328125
15265464.pdf,19.371249675750732
21060367.pdf,19.317874908447266
77156708.pdf,19.295501708984375
21756639.pdf,19.15874481201172
29775391.pdf,19.137789011001587
10674770.pdf,19.08576011657715
11360471.pdf,19.043891429901123
29456173.pdf,19.03860092163086
23185829.pdf,18.986510038375854
12021752.pdf,18.837982416152954
14879257.pdf,18.707239627838135
17213671.pdf,18.706868886947632
60182829.pdf,18.674510717391968
17325147.pdf,18.63953948020935
11432686.pdf,18.635752201080322
17104024_hritik_aggarwal - Hritik Aggarwal.pdf,18.603429794311523
93576192.pdf,18.523566722869873
11672279.pdf,18.478829860687256
25862026.pdf,18.215162754058838
37231163.pdf,18.210638761520386
70667011.pdf,18.17183256149292
25846894.pdf,18.151943683624268
18278509.pdf,18.0232036113739
28396528.pdf,17.96518087387085
80053367.pdf,17.800480127334595
18825446.pdf,17.69756317138672
30127072.pdf,17.5826358795166
23387174.pdf,17.508854866027832
98348532.pdf,17.471144199371338
18586076.pdf,17.434245347976685
62809577.pdf,17.417564392089844
12717345.pdf,17.357100248336792
29990140.pdf,17.246532440185547
25953797.pdf,17.22167134284973
48580330.pdf,17.216438055038452
20148147.pdf,17.169997692108154
41950126.pdf,17.078795433044434
11555549.pdf,17.00331211090088
16887936.pdf,17.00246572494507
23917826.pdf,16.988147497177124
82649935.pdf,16.98716402053833
36024962.pdf,16.9668972492218
28629430.pdf,16.900004148483276
10830646.pdf,16.799800395965576
30304575.pdf,16.78004026412964
16924102.pdf,16.615757942199707
86551046.pdf,16.597285270690918
17857644.pdf,16.513501405715942
24703009.pdf,16.39861822128296
23246831.pdf,16.329764127731323
75286906.pdf,16.242339611053467
68338341.pdf,16.230748891830444
33344933.pdf,16.217368841171265
10889157.pdf,16.202224493026733
27298953.pdf,16.165279150009155
39470264.pdf,16.125303506851196
24294778.pdf,16.02895498275757
36302399.pdf,15.981733798980713
59403481.pdf,15.974814891815186
13130984.pdf,15.896918773651123
18172739.pdf,15.895389318466187
11187796.pdf,15.837469100952148
18669563.pdf,15.735234022140503
11266906.pdf,15.55140733718872
34783330.pdf,15.429972410202026
32318506.pdf,15.424011945724487
39608848.pdf,15.322790145874023
29050809.pdf,15.293611288070679
32605413.pdf,15.270547866821289
20817322.pdf,15.209004878997803
26987539.pdf,15.155978202819824
11121498.pdf,15.09585976600647
29821051.pdf,15.02950668334961
27096796.pdf,14.947022199630737
21511817.pdf,14.822196960449219
91591026.pdf,14.78124737739563
30713796.pdf,14.636253118515015
65352424.pdf,14.574645757675171
23807940.pdf,14.372584819793701
49997097.pdf,14.344148635864258
11842348.pdf,14.205126762390137
18365791.pdf,14.19668197631836
24580361.pdf,14.142975807189941
12442909.pdf,13.959522247314453
31710562.pdf,13.842190504074097
79432080.pdf,13.67108941078186
73157997.pdf,13.641613721847534
